"dt","brand","models","source","average_daily_price"
"2023-10-14","New Balance","Numeric 306 Jamie Foy ","Tactics.com",89.95
"2023-10-01","Hours","Is Yours Cohiba Sl30 ","CCS.com",88.95
"2023-10-09","Vans","Crockett High Decon ","CCS.com",89.95
"2023-10-26","Nike SB","SB React Leo ","CCS.com",94.95
"2023-10-15","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-28","Globe","Gillette ","CCS.com",84.0
"2023-10-28","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-27","C1rca","Buckler SK ","CCS.com",69.95
"2023-10-13","Last Resort","VM001 - Suede Low Top ","Tactics.com",89.95
"2023-10-04","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-10","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-24","New Balance","Numeric 306 Jamie Foy ","Tactics.com",89.95
"2023-10-09","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-24","Lakai","Telford Low ","Tactics.com",84.95
"2023-10-24","eS","Penny 2 ","Tactics.com",0.0
"2023-10-22","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-05","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-14","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-11","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-04","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-28","eS","Penny 2 ","Tactics.com",0.0
"2023-10-04","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-17","Vans","Ultrarange EXO Hi GORE-TEX BOA MTE-3 Boots","Tactics.com",229.95
"2023-10-10","Last Resort","VM001 - Suede Low Top ","Tactics.com",89.95
"2023-10-09","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-13","Lakai","Cambridge ","Tactics.com",76.95
"2023-10-07","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-10","Vans","Crockett High Decon ","CCS.com",89.95
"2023-09-30","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-05","eS","Accel OG ","Tactics.com",89.95
"2023-10-11","Lakai","Telford Low ","Tactics.com",87.95
"2023-10-03","Vans","Skate Half Cab &#39;92 ","CCS.com",94.95
"2023-10-16","Emerica","KSL G6 ","Tactics.com",94.95
"2023-10-18","Last Resort","VM001 - Suede High Top ","Tactics.com",94.95
"2023-09-30","Hours","Is Yours C71 ","CCS.com",84.95
"2023-09-30","Hours","Is Yours Bryan Herman Code ","CCS.com",84.95
"2023-10-18","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-16","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-26","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-14","eS","x Chomp On Kicks Tribo x Vireo ","CCS.com",119.95
"2023-10-11","Rainbow Sandals","Classic Rubber Single Layer Eco Sandals","Tactics.com",0.0
"2023-10-14","eS","Penny 2 ","CCS.com",99.95
"2023-10-23","Nike SB","SB Zoom Janoski OG Plus ","CCS.com",94.95
"2023-10-23","Vans","Rowan 2 ","CCS.com",109.95
"2023-10-11","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-24","Adidas","Busenitz ","CCS.com",84.95
"2023-10-12","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-11","eS","Penny 2 ","CCS.com",99.95
"2023-09-30","DC","Lynx Zero ","CCS.com",69.95
"2023-10-15","New","Balance 22 ","CCS.com",84.95
"2023-10-27","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-26","Last Resort","Resort AB x Spitfire VM001 Suede ","CCS.com",89.95
"2023-10-16","Adidas","Nora ","Tactics.com",79.95
"2023-10-28","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-27","Converse","Chuck Taylor All Star Pro Mid ","Tactics.com",74.95
"2023-10-05","Vans","Rowan ","CCS.com",84.95
"2023-10-26","New Balance","Numeric 306 Jamie Foy ","Tactics.com",89.95
"2023-10-19","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-09-30","Lakai","Manchester ","CCS.com",71.95
"2023-10-10","Globe","Mahalo ","CCS.com",84.95
"2023-10-28","Opus","Court Hi ","CCS.com",69.95
"2023-10-04","Vans","Skate Half Cab ","CCS.com",84.95
"2023-10-10","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-10-25","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-12","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-03","Lakai","Trudger ","Tactics.com",89.95
"2023-10-07","Etnies","Marana Michelin ","Tactics.com",104.95
"2023-10-10","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-01","Adidas","Busenitz Pro ","Tactics.com",84.95
"2023-10-09","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-24","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-16","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-10","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-11","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-19","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-04","Nike SB","Ishod Wair PRM ","Tactics.com",0.0
"2023-10-23","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-04","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-10-27","Nike SB","SB Chron 2 ","CCS.com",74.95
"2023-10-19","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-08","Etnies","MC Rap Hi ","Tactics.com",94.95
"2023-10-15","Etnies","Windrow ","Tactics.com",79.95
"2023-10-09","Converse","Louie Lopez Pro Mid ","CCS.com",71.96
"2023-10-05","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-24","Etnies","Windrow ","Tactics.com",79.95
"2023-10-22","Globe","Gillette ","CCS.com",84.0
"2023-10-15","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-10","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-27","Vans","Rowan 2 ","CCS.com",109.95
"2023-10-24","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-11","Saucony","Jazz Court ","CCS.com",70.0
"2023-10-12","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-13","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-26","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-25","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-11","DAKINE","Kiawe Sandals","Tactics.com",0.0
"2023-10-02","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-09-30","eS","Penny 2 ","CCS.com",99.95
"2023-10-01","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-02","DC","Pure High","CCS.com",94.95
"2023-10-05","Etnies","Windrow ","Tactics.com",79.95
"2023-10-18","eS","The Muska ","Tactics.com",149.95
"2023-10-25","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-11","New Balance","Numeric 1010 Tiago Lemos ","Tactics.com",109.95
"2023-09-30","Emerica","x Michael Sieben Omen Hi ","CCS.com",84.95
"2023-10-08","New","Balance 808 Tiago ","CCS.com",77.0
"2023-10-17","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-16","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-26","DAKINE","Friendly Foam Vanish Sandals","Tactics.com",0.0
"2023-10-10","New","Balance 417 Franky Halloween ","CCS.com",94.95
"2023-10-06","Converse","AS","CCS.com",79.95
"2023-09-30","Nike SB","SB Zoom Blazer Low Pro GT ","CCS.com",59.47
"2023-10-17","Last Resort","Resort AB VM003 Suede Lo ","CCS.com",89.95
"2023-10-04","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-09","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-18","DC","Metric S x Will ","CCS.com",109.95
"2023-10-06","Vans","Rowan ","CCS.com",84.95
"2023-10-23","Opus","Standard Mid ","CCS.com",74.95
"2023-10-18","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-11","New","Balance 580 ","CCS.com",91.0
"2023-10-11","Lakai","Trudger ","Tactics.com",89.95
"2023-10-10","Adidas","Nora ","CCS.com",79.95
"2023-10-14","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-25","eS","The Muska ","Tactics.com",149.95
"2023-10-20","eS","Accel Slim Mid ","CCS.com",94.95
"2023-10-16","Globe","Gillette Mid ","CCS.com",129.95
"2023-10-09","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-27","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-14","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-10-08","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-13","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-08","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-14","Adidas","Busenitz Pro ","Tactics.com",84.95
"2023-10-27","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-01","Converse","One Star Pro Shaggy Suede ","CCS.com",74.95
"2023-10-01","Converse","Louie Lopez Pro Mid ","Tactics.com",79.95
"2023-10-07","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-02","Lakai","Telford Low ","Tactics.com",84.95
"2023-10-07","eS","Accel Slim Mid ","CCS.com",94.95
"2023-09-30","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-20","Lakai","Terrace ","Tactics.com",86.95
"2023-10-20","Vans","Skate Half Cab &#39;92 ","CCS.com",94.95
"2023-10-08","New","Balance 440 Hi ","CCS.com",63.0
"2023-10-23","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-07","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-10-15","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-15","Emerica","Dickson G6 ","Tactics.com",79.95
"2023-10-13","Lakai","Telford Low ","Tactics.com",84.95
"2023-10-18","Opus","Standard Mid ","CCS.com",74.95
"2023-10-01","Etnies","MC Rap Hi ","Tactics.com",94.95
"2023-10-02","Globe","Gillette ","CCS.com",119.95
"2023-10-26","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-18","DAKINE","Kiawe Sandals","Tactics.com",0.0
"2023-10-24","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-15","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-09","eS","Penny 2 ","CCS.com",99.95
"2023-10-12","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-18","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-17","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-13","N/A","Previous","Tactics.com",0.0
"2023-10-23","Nike SB","SB Leo React ","CCS.com",94.95
"2023-10-26","Reebok","Club C 85 ","CCS.com",84.95
"2023-10-24","New Balance","Numeric 1010 Tiago Lemos ","Tactics.com",109.95
"2023-10-24","Nike SB","Leo ","Tactics.com",94.95
"2023-10-13","eS","Accel OG ","Tactics.com",89.95
"2023-10-25","New Balance","Numeric 306 Jamie Foy ","Tactics.com",89.95
"2023-10-27","Last Resort","VM003 - Suede High Top ","Tactics.com",99.95
"2023-10-01","Etnies","Jefferson Mtw ","CCS.com",99.95
"2023-10-15","eS","Muska ","CCS.com",149.95
"2023-09-30","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-08","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-25","Converse","AS","CCS.com",79.95
"2023-10-19","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-04","eS","Accel OG ","Tactics.com",89.95
"2023-10-09","Vans","Wayvee ","CCS.com",94.95
"2023-10-07","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-24","Vans","Rowan 2 Pro ","Tactics.com",109.95
"2023-10-05","New","Balance 440 Hi ","CCS.com",63.0
"2023-10-12","eS","x Chomp On Kicks Tribo x Vireo ","CCS.com",119.95
"2023-10-10","Converse","Louie Lopez Pro Mid ","CCS.com",71.96
"2023-10-28","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-20","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-15","Lakai","Telford Low ","Tactics.com",87.95
"2023-10-09","Last Resort","VM001 - Suede Low Top ","Tactics.com",94.95
"2023-10-24","Adidas","Samba ADV ","CCS.com",99.95
"2023-10-21","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-09","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-28","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-13","eS","Muska ","CCS.com",149.95
"2023-10-16","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-13","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-05","New","Balance 997H ","CCS.com",89.95
"2023-10-20","New","Balance 22 ","CCS.com",84.95
"2023-10-18","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-09","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-05","Reebok","BB 4000 II ","CCS.com",89.95
"2023-10-09","DAKINE","Kiawe Sandals","Tactics.com",0.0
"2023-10-17","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-04","Last Resort","VM001 - Suede Low Top ","Tactics.com",89.95
"2023-10-09","Last Resort","CM001 - Low Top ","Tactics.com",94.95
"2023-10-06","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-04","Etnies","Windrow ","Tactics.com",79.95
"2023-10-23","Converse","Chuck Taylor All Star Pro ","Tactics.com",74.95
"2023-09-30","Globe","Dover II Vibram ","CCS.com",199.95
"2023-10-17","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-01","Globe","Gillette Mid ","CCS.com",129.95
"2023-10-15","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-09-30","Lakai","Telford Low ","Tactics.com",84.95
"2023-10-21","DAKINE","Friendly Foam Vanish Sandals","Tactics.com",0.0
"2023-10-17","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-17","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-05","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-24","Lakai","x Pacifico Cambridge ","CCS.com",79.95
"2023-10-13","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-28","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-22","Emerica","Wino G6 Slip-On Shoes","Tactics.com",74.95
"2023-10-28","Lakai","EVO 2.0 Shoes","Tactics.com",89.95
"2023-10-15","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-02","Nike SB","SB Zoom Blazer Mid Prm ","CCS.com",84.98
"2023-10-17","Globe","Gillette Mid ","CCS.com",129.95
"2023-10-17","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-16","Rainbow Sandals","Classic Rubber Single Layer Eco Sandals","Tactics.com",0.0
"2023-10-09","Converse","AS","CCS.com",79.95
"2023-10-23","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-10","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-24","Lakai","Trudger ","Tactics.com",94.95
"2023-10-02","Reebok","Club C Mid II ","CCS.com",89.95
"2023-10-20","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-10","Globe","Gillette Mid ","CCS.com",129.95
"2023-10-14","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-16","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-02","C1rca","Buckler Sk ","CCS.com",69.95
"2023-10-04","Adidas","Nora ","CCS.com",79.95
"2023-10-14","New","Balance 306 Foy ","CCS.com",89.95
"2023-10-11","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-09-30","Etnies","JOSL1N ","Tactics.com",109.95
"2023-09-30","Emerica","The Low Vulc ","CCS.com",69.95
"2023-10-23","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-17","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-10-22","Converse","Chuck Taylor All Star Pro Mid ","CCS.com",52.5
"2023-10-03","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-06","Converse","Louie Lopez Pro Mid ","CCS.com",71.96
"2023-10-10","New Balance","Numeric 1010 Tiago Lemos ","Tactics.com",109.95
"2023-10-01","eS","The Muska ","Tactics.com",149.95
"2023-10-18","Saucony","Shadow 6000 ","CCS.com",84.0
"2023-10-10","Rainbow Sandals","The Rastafarian Sandals","Tactics.com",0.0
"2023-10-28","Adidas","Busenitz Pro ","Tactics.com",84.95
"2023-10-10","Adidas","Nora ","Tactics.com",79.95
"2023-10-23","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-04","Last Resort","Resort AB VM002 Suede ","CCS.com",89.95
"2023-10-22","C1rca","CX201R ","CCS.com",79.95
"2023-10-03","New","Balance 1010 Tiago ","CCS.com",77.0
"2023-09-30","Emerica","Dickson G6 ","Tactics.com",79.95
"2023-10-16","Converse","Louie Lopez Pro Mid ","Tactics.com",79.95
"2023-10-17","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-12","New","Balance 580 ","CCS.com",91.0
"2023-10-05","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-23","Opus","Standard Low ","CCS.com",64.95
"2023-10-16","Etnies","Windrow ","Tactics.com",79.95
"2023-10-23","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-22","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-10","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-20","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-07","Emerica","OG","CCS.com",94.95
"2023-10-28","Nike SB","SB Chron 2 ","CCS.com",74.95
"2023-10-16","Converse","Chuck Taylor All Star Pro ","Tactics.com",74.95
"2023-10-09","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-06","Last Resort","VM003 - Canvas High Top ","Tactics.com",89.95
"2023-10-19","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-28","DC","JS 1 ","CCS.com",139.95
"2023-10-15","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-10-22","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-02","New Balance","Numeric 1010 Tiago Lemos ","Tactics.com",109.95
"2023-09-30","Lakai","Flaco II ","Tactics.com",79.95
"2023-10-28","Last Resort","Resort AB x Spitfire VM003 Canvas ","CCS.com",89.95
"2023-10-09","Lakai","Trudger ","Tactics.com",94.95
"2023-10-18","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-23","Adidas","Stan Smith ADV ","Tactics.com",94.95
"2023-10-24","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-24","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-19","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-23","eS","The Muska ","Tactics.com",149.95
"2023-10-16","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-28","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-17","Converse","AS","CCS.com",79.95
"2023-10-12","Last Resort","VM001 - Suede High Top ","Tactics.com",94.95
"2023-10-06","Adidas","Tyshawn Pro ","Tactics.com",89.95
"2023-10-04","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-26","Lakai","Cambridge ","Tactics.com",76.95
"2023-10-11","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-23","Globe","Gillette ","CCS.com",84.0
"2023-10-15","Last Resort","Resort AB VM002 Suede ","CCS.com",89.95
"2023-10-22","Last Resort","VM001 - Suede High Top ","Tactics.com",94.95
"2023-10-14","Last Resort","Resort AB VM002 Suede ","CCS.com",89.95
"2023-10-03","Nike SB","SB React Leo ","CCS.com",94.95
"2023-10-19","Opus","Court Hi ","CCS.com",69.95
"2023-10-25","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-11","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-01","Hours","Is Yours Bryan Herman Code ","CCS.com",84.95
"2023-10-11","eS","The Muska ","Tactics.com",149.95
"2023-10-02","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-11","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-13","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-08","eS","Accel OG ","Tactics.com",89.95
"2023-10-21","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-24","Reebok","Club C 85 ","CCS.com",84.95
"2023-10-11","DC","Metric S x Will ","CCS.com",109.95
"2023-10-11","Converse","Chuck Taylor All Star Pro Mid ","Tactics.com",74.95
"2023-10-22","Lakai","x Pacifico Cambridge ","CCS.com",79.95
"2023-10-15","Nike SB","Leo ","Tactics.com",94.95
"2023-10-12","New","Balance 22 ","CCS.com",84.95
"2023-10-23","Converse","AS","CCS.com",79.95
"2023-10-05","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-10-18","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-08","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-11","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-09","New","Balance 997H ","CCS.com",89.95
"2023-10-09","Converse","Chuck Taylor All Star Pro Mid ","Tactics.com",74.95
"2023-09-30","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-06","Adidas","Busenitz Pro ","Tactics.com",84.95
"2023-10-27","Reebok","Club C 85 ","CCS.com",84.95
"2023-10-13","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-25","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-22","Adidas","Busenitz ","CCS.com",84.95
"2023-10-20","Vans","Skate Half Cab ","CCS.com",84.95
"2023-10-18","Emerica","KSL G6 ","Tactics.com",94.95
"2023-10-18","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-26","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-08","Converse","Louie Lopez Pro Mid ","Tactics.com",79.95
"2023-10-12","DAKINE","Friendly Foam Vanish Sandals","Tactics.com",0.0
"2023-10-08","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-02","Emerica","x Michael Sieben Omen Hi ","CCS.com",84.95
"2023-10-21","Last Resort","Resort AB x Spitfire VM003 Canvas ","CCS.com",89.95
"2023-10-20","Saucony","Shadow 6000 ","CCS.com",84.0
"2023-10-04","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-10","Vans","Skate Half Cab &#39;92 ","CCS.com",94.95
"2023-10-24","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-06","New","Balance 480 Andrew Reynolds ","CCS.com",99.95
"2023-10-24","Converse","Chuck Taylor All Star Pro Mid ","CCS.com",52.5
"2023-10-04","DC","Metric S x Will ","CCS.com",109.95
"2023-10-10","Etnies","Windrow ","Tactics.com",79.95
"2023-10-07","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-16","eS","Penny 2 ","Tactics.com",0.0
"2023-10-09","Rainbow Sandals","Kids Grombow Sandals","Tactics.com",0.0
"2023-10-08","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-03","Emerica","The Low Vulc ","CCS.com",69.95
"2023-10-28","Converse","Chuck Taylor All Star Pro Mid ","Tactics.com",74.95
"2023-10-07","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-15","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-11","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-18","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-24","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-22","Adidas","Tyshawn ","CCS.com",89.95
"2023-10-20","Adidas","Tyshawn ","CCS.com",89.95
"2023-10-11","Emerica","OG","CCS.com",94.95
"2023-10-26","Last Resort","VM001 - Suede Low Top ","Tactics.com",89.95
"2023-10-28","Emerica","Provost G6 ","Tactics.com",84.95
"2023-10-18","Opus","Honey Slip ","CCS.com",64.95
"2023-10-17","Last Resort","VM003 - Canvas High Top ","Tactics.com",89.95
"2023-10-12","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-09","Globe","Sabre ","CCS.com",159.95
"2023-10-05","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-02","DC","Kalis Lite ","CCS.com",79.95
"2023-10-27","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-09","eS","Accel Slim Mid ","CCS.com",94.95
"2023-10-15","Converse","Louie Lopez Pro Mid ","CCS.com",71.96
"2023-10-20","New","Balance 808 Tiago ","CCS.com",77.0
"2023-10-04","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-15","Vans","Rowan ","CCS.com",84.95
"2023-10-14","Reebok","BB 4000 II ","CCS.com",89.95
"2023-10-22","Opus","Court Hi ","CCS.com",69.95
"2023-10-16","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-15","Lakai","Essex ","Tactics.com",74.95
"2023-10-02","Saucony","Shadow 6000 ","CCS.com",119.95
"2023-10-09","DC","Manual Hi ","Tactics.com",0.0
"2023-10-17","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-01","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-12","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-27","New Balance","Numeric 600 Tom Knox ","Tactics.com",94.95
"2023-10-25","Opus","Honey Slip ","CCS.com",64.95
"2023-10-03","eS","Muska ","CCS.com",149.95
"2023-10-14","Vans","Rowan ","CCS.com",84.95
"2023-10-25","Opus","Court Hi ","CCS.com",69.95
"2023-09-30","eS","Accel OG ","Tactics.com",89.95
"2023-10-04","New","Balance 306 Foy ","CCS.com",89.95
"2023-10-04","New","Balance 580 ","CCS.com",91.0
"2023-10-04","New","Balance 808 Tiago ","CCS.com",77.0
"2023-10-22","Vans","Rowan 2 ","CCS.com",109.95
"2023-10-15","New","Balance 440 Hi ","CCS.com",63.0
"2023-10-08","eS","Penny 2 ","Tactics.com",0.0
"2023-10-24","DAKINE","Friendly Foam Vanish Sandals","Tactics.com",0.0
"2023-10-17","eS","The Muska ","Tactics.com",149.95
"2023-10-05","eS","Muska ","CCS.com",149.95
"2023-10-07","Adidas","Tyshawn ","CCS.com",89.95
"2023-10-24","New","Balance 417 Villani ","CCS.com",89.95
"2023-09-30","New Balance","Numeric 1010 Tiago Lemos ","Tactics.com",109.95
"2023-10-20","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-08","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-07","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-02","Hours","Is Yours Bryan Herman Code ","CCS.com",84.95
"2023-10-27","Nike SB","Leo ","Tactics.com",94.95
"2023-10-23","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-08","New","Balance 306 Foy ","CCS.com",89.95
"2023-10-07","New","Balance 580 ","CCS.com",91.0
"2023-10-23","Opus","Honey Slip ","CCS.com",64.95
"2023-10-02","DAKINE","Kiawe Sandals","Tactics.com",0.0
"2023-10-16","Lakai","Trudger ","Tactics.com",89.95
"2023-10-15","Last Resort","VM003 - Suede Low Top ","Tactics.com",89.95
